STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,PSUN,TSUN,TAVG,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT06,WT02,WT04,WT08,WT03
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20140910,-9999,-9999,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20140912,-9999,-9999,0.14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20140913,-9999,-9999,0.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20140915,-9999,-9999,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20140916,-9999,-9999,0.21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20140922,-9999,-9999,0.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20140924,-9999,-9999,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20140928,-9999,-9999,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20140929,-9999,-9999,0.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20140930,-9999,-9999,0.36,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20141004,-9999,-9999,0.79,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20141030,-9999,-9999,0.05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20141101,-9999,-9999,0.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20141107,-9999,-9999,0.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20141117,-9999,-9999,2.12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20141118,-9999,-9999,0.47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20141128,-9999,-9999,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20141206,-9999,-9999,0.16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20141207,-9999,-9999,0.37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20141216,-9999,-9999,0.10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20141222,-9999,-9999,0.42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20150102,-9999,-9999,0.10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20150112,-9999,-9999,0.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1GADK0022,DUNWOODY 1.8 WNW GA US,20150113,-9999,-9999,0.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
