
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
558,10,Nov 1 2014,12:00 PM,Sat,(24) Duke,51,@,Pittsburgh,48,ESPN U,
559,10,Nov 1 2014,3:30 PM,Sat,Florida,38,,(9) Georgia,20,CBS,EverBank Field - Jacksonville FL
563,10,Nov 1 2014,8:00 PM,Sat,(11) Kansas State,48,,Oklahoma State,14,ABC,
569,10,Nov 1 2014,7:15 PM,Sat,(1) Mississippi State,17,,Arkansas,10,ESPN 2,
571,10,Nov 1 2014,3:30 PM,Sat,(17) Nebraska,35,,Purdue,14,ABC (ESPN 2 mirror),
575,10,Nov 1 2014,8:00 PM,Sat,(6) Notre Dame,49,,Navy,39,CBS,FedEx Field - Landover MD
576,10,Nov 1 2014,8:00 PM,Sat,(13) Ohio State,55,,Illinois,14,ABC ESPN3.com,
577,10,Nov 1 2014,12:00 PM,Sat,(19) Oklahoma,59,@,Iowa State,14,FS1,
578,10,Nov 1 2014,7:30 PM,Sat,(5) Oregon,45,,Stanford,16,FOX,
581,10,Nov 1 2014,12:00 PM,Sat,Temple,20,,(21) East Carolina,10,ESPNews,
585,10,Nov 1 2014,3:30 PM,Sat,(10) Texas Christian,31,@,(20) West Virginia,30,ABC (ESPN 2 mirror),
588,10,Nov 1 2014,10:30 PM,Sat,(25) UCLA,17,,(14) Arizona,7,ESPN,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
599,11,Nov 6 2014,7:30 PM,Thu,(19) Clemson,34,@,Wake Forest,20,ESPN,
603,11,Nov 8 2014,8:00 PM,Sat,(4) Alabama,20,@,(14) Louisiana State,13,CBS,
605,11,Nov 8 2014,8:00 PM,Sat,(21) Arizona,38,,Colorado,20,Pac-12 Network,
606,11,Nov 8 2014,3:30 PM,Sat,(11) Arizona State,55,,(8) Notre Dame,31,ABC,
609,11,Nov 8 2014,12:00 PM,Sat,(10) Baylor,48,@,(16) Oklahoma,14,FS1,
612,11,Nov 8 2014,12:30 PM,Sat,(22) Duke,27,@,Syracuse,10,RSN MSG STO SunSports,
614,11,Nov 8 2014,6:30 PM,Sat,(2) Florida State,34,,Virginia,20,ESPN,
616,11,Nov 8 2014,12:00 PM,Sat,(17) Georgia,63,@,Kentucky,31,ESPN,
623,11,Nov 8 2014,7:00 PM,Sat,(23) Marshall,63,@,Southern Mississippi,17,Sinclair ASN CSN-CHI,
626,11,Nov 8 2014,12:00 PM,Sat,(12) Mississippi,48,,Presbyterian,0,SEC Network,
627,11,Nov 8 2014,4:00 PM,Sat,(1) Mississippi State,45,,Tennessee-Martin,16,SEC Network,
629,11,Nov 8 2014,8:00 PM,Sat,(13) Ohio State,49,@,(7) Michigan State,37,ABC,
631,11,Nov 8 2014,10:00 PM,Sat,(5) Oregon,51,@,(20) Utah,27,ESPN,
635,11,Nov 8 2014,3:30 PM,Sat,Texas,33,,(24) West Virginia,16,FS1,
636,11,Nov 8 2014,3:30 PM,Sat,Texas A&amp;M,41,@,(3) Auburn,38,CBS,
637,11,Nov 8 2014,7:30 PM,Sat,(6) Texas Christian,41,,(9) Kansas State,20,FOX,
641,11,Nov 8 2014,7:00 PM,Sat,(18) UCLA,44,@,Washington,30,FS1,
644,11,Nov 8 2014,12:00 PM,Sat,(25) Wisconsin,34,@,Purdue,16,ESPN U,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
654,12,Nov 15 2014,3:30 PM,Sat,(4) Alabama,25,,(1) Mississippi State,20,CBS,
656,12,Nov 15 2014,3:30 PM,Sat,(17) Arizona,27,,Washington,26,FOX,
657,12,Nov 15 2014,8:00 PM,Sat,Arkansas,17,,(20) Louisiana State,0,ESPN 2,
662,12,Nov 15 2014,8:00 PM,Sat,(2) Florida State,30,@,Miami (FL),26,ABC,
663,12,Nov 15 2014,7:15 PM,Sat,(16) Georgia,34,,(9) Auburn,7,ESPN,
664,12,Nov 15 2014,12:00 PM,Sat,(24) Georgia Tech,28,,(18) Clemson,6,ESPN,
668,12,Nov 15 2014,2:30 PM,Sat,(21) Marshall,41,,Rice,14,FSN MSG+ ROOT-PITT,
670,12,Nov 15 2014,8:00 PM,Sat,(12) Michigan State,37,@,Maryland,15,Big Ten Network,
675,12,Nov 15 2014,3:30 PM,Sat,Northwestern,43,@,(15) Notre Dame,40,,
676,12,Nov 15 2014,3:30 PM,Sat,Northwestern,43,@,(15) Notre Dame,40,,
677,12,Nov 15 2014,3:30 PM,Sat,Northwestern,43,@,(15) Notre Dame,40,,
678,12,Nov 15 2014,3:30 PM,Sat,Northwestern,43,@,(15) Notre Dame,40,,
679,12,Nov 15 2014,12:00 PM,Sat,(8) Ohio State,31,@,Minnesota,24,ABC,
681,12,Nov 15 2014,10:45 PM,Sat,Oregon State,35,,(7) Arizona State,27,ESPN,
689,12,Nov 15 2014,3:00 PM,Sat,(5) Texas Christian,34,@,Kansas,30,FS1,
692,12,Nov 15 2014,6:00 PM,Sat,(25) Utah,20,@,Stanford,17,Pac-12 Network,
694,12,Nov 15 2014,12:00 PM,Sat,Virginia Tech,17,@,(19) Duke,16,ESPN U,
697,12,Nov 15 2014,3:30 PM,Sat,(22) Wisconsin,59,,(11) Nebraska,24,ABC,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
701,13,Nov 20 2014,7:00 PM,Thu,(12) Kansas State,26,@,West Virginia,20,FS1,
702,13,Nov 20 2014,7:30 PM,Thu,North Carolina,45,@,(25) Duke,20,ESPN,
707,13,Nov 22 2014,4:00 PM,Sat,(2) Alabama,48,,Western Carolina,14,SEC Network,
709,13,Nov 22 2014,3:30 PM,Sat,(15) Arizona,42,@,(20) Utah,10,ESPN,
710,13,Nov 22 2014,1:00 PM,Sat,(13) Arizona State,52,,Washington State,31,Pac-12 Network,
711,13,Nov 22 2014,3:30 PM,Sat,Arkansas,30,,(8) Mississippi,0,CBS,
713,13,Nov 22 2014,7:00 PM,Sat,(16) Auburn,31,,Samford,7,ESPN U,
715,13,Nov 22 2014,7:30 PM,Sat,(6) Baylor,49,,Oklahoma State,28,FOX,
721,13,Nov 22 2014,1:30 PM,Sat,(22) Colorado State,58,,New Mexico,20,ROOT-NW RM,
724,13,Nov 22 2014,3:30 PM,Sat,(1) Florida State,20,,Boston College,17,ABC (ESPN 2 mirror),
726,13,Nov 22 2014,12:00 PM,Sat,(9) Georgia,55,,Charleston Southern,9,SEC Network,
732,13,Nov 22 2014,12:00 PM,Sat,(18) Marshall,23,@,Alabama-Birmingham,18,American Sports Network,
735,13,Nov 22 2014,12:00 PM,Sat,(10) Michigan State,45,,Rutgers,3,Big Ten Network,
737,13,Nov 22 2014,12:00 PM,Sat,Minnesota,28,@,(21) Nebraska,24,ESPN,
738,13,Nov 22 2014,7:30 PM,Sat,(4) Mississippi State,51,,Vanderbilt,0,SEC Network,
739,13,Nov 22 2014,7:30 PM,Sat,(19) Missouri,29,@,Tennessee,21,ESPN,
742,13,Nov 22 2014,12:00 PM,Sat,(7) Ohio State,42,,Indiana,27,Big Ten Network,
743,13,Nov 22 2014,12:00 PM,Sat,(23) Oklahoma,44,,Kansas,7,FS1,
745,13,Nov 22 2014,4:30 PM,Sat,(3) Oregon,44,,Colorado,10,Pac-12 Network,
750,13,Nov 22 2014,8:00 PM,Sat,(11) UCLA,38,,(24) Southern California,20,ABC,
756,13,Nov 22 2014,3:30 PM,Sat,(14) Wisconsin,26,@,Iowa,24,ABC (ESPN 2 mirror),
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
759,14,Nov 27 2014,7:30 PM,Thu,(6) Texas Christian,48,@,Texas,10,FS1,
760,14,Nov 28 2014,3:30 PM,Fri,Air Force,27,,(21) Colorado State,24,CBSSN,
761,14,Nov 28 2014,3:30 PM,Fri,(12) Arizona,42,,(13) Arizona State,35,FOX,
768,14,Nov 28 2014,2:30 PM,Fri,(17) Missouri,21,,Arkansas,14,CBS,
772,14,Nov 28 2014,3:30 PM,Fri,Stanford,31,@,(9) UCLA,10,ABC,
