Date,PSA Sales,Orders,Online Sls %,Carryout %,Papa Rewards Customer Enrollments
2014-11-14,5064.62434,26456,52.23206221,39.510886,599864
2014-11-15,5354.974057,26206,49.62864274,37.71273754,600705
2014-11-16,3211.110189,17605,55.41066618,35.77392786,601260
2014-11-17,2123.526509,12873,58.88938927,39.85085062,601634
2014-11-18,2222.157075,14326,48.9988374,51.34720089,601948
2014-11-19,2135.47434,11983,51.09578412,39.86480848,602266
2014-11-20,2607.001792,14641,50.98910521,40.57782938,602628
2014-11-21,4714.36934,24752,52.1219039,40.55025856,603295
2014-11-22,4594.699434,22994,49.17568057,39.30155693,603908
2014-11-23,3798.358396,20448,57.03169584,34.26251956,604506
2014-11-24,2227.674717,12916,53.29959084,40.98017962,604790
2014-11-25,2655.203962,15820,51.94206379,46.95322377,605129
2014-11-26,3452.030189,18221,50.77156948,42.50041161,605518
2014-11-27,41.08820755,193,14.81534205,54.92227979,605577
2014-11-28,3425.689811,17446,53.577781,37.37819557,606032
2014-11-29,4564.443113,22305,51.03888244,38.93297467,606657
2014-11-30,3169.203962,17726,56.80194318,37.72424687,607115
2014-12-01,2320.861981,14157,58.22261386,42.86218832,607494
2014-12-02,2359.39217,15063,48.15525521,52.09453628,607832
2014-12-03,2484.929906,13692,47.587888,41.0458662,n/a
2014-12-04,2803.484151,15382,49.18851313,39.85827591,608173
2014-12-05,4956.502358,26085,49.10576301,40.04216983,609178
2014-12-06,5073.63217,26666,51.92305851,37.14467862,609983
2014-12-07,3080.098302,16891,52.77743525,38.2215381,610479
2014-12-08,2094.714717,12237,52.83981572,39.87905532,610826
2014-12-09,2431.246132,15275,49.83067733,50.70376432,611245
2014-12-10,2456.625472,13799,52.38973696,39.94492355,611658
2014-12-11,2680.58717,14905,51.84413271,40.2079839,612031
2014-12-12,4923.247453,25571,51.08663608,39.396191,612687
2014-12-13,4438.506132,23319,49.77840262,37.92615464,613273
2014-12-14,3276.048868,17781,54.03988145,37.3544795,613735
2014-12-15,2070.172547,12185,51.071406,41.09971276,614074
2014-12-16,2486.936792,15828,50.04038461,51.27621936,614498
2014-12-17,2626.008491,14444,49.50137396,40.63971199,614880
2014-12-18,3071.76566,16292,47.5794789,40.17309109,615306
